Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments,
5497.016952,5555.198909,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot55@10.200.110.111>,SIP,12:00:58 AM,10,COMPLETED,INVITE 401 200
5497.026503,5555.213013,10.200.110.111,"""bot56","<sip:bot56@10.200.110.111>""",<sip:bot55@10.200.110.100:8555>,SIP,12:00:58 AM,7,COMPLETED,INVITE 200
5617.063179,5659.956096,10.200.110.100,"""bot58","<sip:bot58@10.200.110.100>""",<sip:bot55@10.200.110.111>,SIP,12:00:42 AM,10,COMPLETED,INVITE 401 200
5617.213203,5659.973989,10.200.110.111,"""bot58","<sip:bot58@10.200.110.111>""",<sip:bot55@10.200.110.100:8555>,SIP,12:00:42 AM,7,COMPLETED,INVITE 200
5856.865719,5892.191287,10.200.110.100,"""bot59","<sip:bot59@10.200.110.100>""",<sip:bot53@10.200.110.111>,SIP,12:00:35 AM,10,COMPLETED,INVITE 401 200
5856.875875,5892.209174,10.200.110.111,"""bot59","<sip:bot59@10.200.110.111>""",<sip:bot53@10.200.110.100:8553>,SIP,12:00:35 AM,7,COMPLETED,INVITE 200
5857.081782,5931.545006,10.200.110.100,"""bot53","<sip:bot53@10.200.110.100>""",<sip:bot53@10.200.110.111>,SIP,12:01:14 AM,10,COMPLETED,INVITE 401 200
5857.093029,5931.552248,10.200.110.111,"""bot53","<sip:bot53@10.200.110.111>""",<sip:bot53@10.200.110.100:8553>,SIP,12:01:14 AM,7,COMPLETED,INVITE 200
5916.880655,5941.85754,10.200.110.100,"""bot50","<sip:bot50@10.200.110.100>""",<sip:bot54@10.200.110.111>,SIP,12:00:24 AM,10,COMPLETED,INVITE 401 200
5916.89248,5941.875521,10.200.110.111,"""bot50","<sip:bot50@10.200.110.111>""",<sip:bot54@10.200.110.100:8554>,SIP,12:00:24 AM,7,COMPLETED,INVITE 200
5917.037611,5917.053095,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot61@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
5977.003374,5977.015973,10.200.110.100,"""bot51","<sip:bot51@10.200.110.100>""",<sip:bot64@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6037.034341,6037.049617,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot64@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6277.007911,6318.059026,10.200.110.100,"""bot52","<sip:bot52@10.200.110.100>""",<sip:bot56@10.200.110.111>,SIP,12:00:41 AM,10,COMPLETED,INVITE 401 200
6277.013182,6318.076586,10.200.110.111,"""bot52","<sip:bot52@10.200.110.111>""",<sip:bot56@10.200.110.100:8556>,SIP,12:00:41 AM,7,COMPLETED,INVITE 200
6336.953105,6403.452497,10.200.110.100,"""bot55","<sip:bot55@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:01:06 AM,10,COMPLETED,INVITE 401 200
6336.964675,6403.469981,10.200.110.111,"""bot55","<sip:bot55@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:01:06 AM,7,COMPLETED,INVITE 200
6337.089955,6372.450461,10.200.110.100,"""bot53","<sip:bot53@10.200.110.100>""",<sip:bot57@10.200.110.111>,SIP,12:00:35 AM,10,COMPLETED,INVITE 401 200
6337.095761,6372.468665,10.200.110.111,"""bot53","<sip:bot53@10.200.110.111>""",<sip:bot57@10.200.110.100:8557>,SIP,12:00:35 AM,7,COMPLETED,INVITE 200
6397.100342,6439.685142,10.200.110.111,"""bot60","<sip:bot60@10.200.110.111>""",<sip:bot50@10.200.110.100:8550>,SIP,12:00:42 AM,7,COMPLETED,INVITE 200
6636.876048,6701.067031,10.200.110.100,"""bot59","<sip:bot59@10.200.110.100>""",<sip:bot59@10.200.110.111>,SIP,12:01:04 AM,10,COMPLETED,INVITE 401 200
6636.887876,6701.085164,10.200.110.111,"""bot59","<sip:bot59@10.200.110.111>""",<sip:bot59@10.200.110.100:8559>,SIP,12:01:04 AM,7,COMPLETED,INVITE 200
6697.024021,6697.041337,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6757.043059,6757.064552,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6817.07175,6845.79421,10.200.110.100,"""bot58","<sip:bot58@10.200.110.100>""",<sip:bot60@10.200.110.111>,SIP,12:00:28 AM,10,COMPLETED,INVITE 401 200
6877.042733,6954.964861,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot57@10.200.110.111>,SIP,12:01:17 AM,10,COMPLETED,INVITE 401 200
