Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments
4859.992773,4986.166922,10.200.110.100,"""bot25"" <sip:bot25@10.200.110.100>",<sip:bot44@10.200.110.111>,SIP,12:02:06 AM,10,COMPLETED,INVITE 401 200
4859.997888,4996.198707,10.200.110.111,"""bot29"" <sip:bot29@10.200.110.111>",<sip:bot34@10.200.110.100:8534>,SIP,12:02:16 AM,7,COMPLETED,INVITE 200
4919.8,4919.816075,10.200.110.100,"""bot31"" <sip:bot31@10.200.110.100>",<sip:bot24@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4919.873266,4919.887398,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot20@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
4919.899718,4925.990901,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot34@10.200.110.111>,SIP,12:00:06 AM,7,REJECTED,INVITE 401 486
4919.903244,4925.985889,10.200.110.111,"""bot43"" <sip:bot43@10.200.110.111>",<sip:bot34@10.200.110.100:8534>,SIP,12:00:06 AM,6,REJECTED,INVITE 486
4979.901817,5600.735019,10.200.110.100,"""bot45"" <sip:bot45@10.200.110.100>",<sip:bot36@10.200.110.111>,SIP,12:10:20 AM,10,COMPLETED,INVITE 401 200
5039.999025,5040.097188,10.200.110.100,"""bot34"" <sip:bot34@10.200.110.100>",<sip:bot20@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
5099.76948,5425.658018,10.200.110.100,"""bot33"" <sip:bot33@10.200.110.100>",<sip:bot34@10.200.110.111>,SIP,12:05:25 AM,10,COMPLETED,INVITE 401 200
5099.781228,5425.675376,10.200.110.111,"""bot33"" <sip:bot33@10.200.110.111>",<sip:bot34@10.200.110.100:8534>,SIP,12:05:25 AM,7,COMPLETED,INVITE 200
5099.892814,5589.379599,10.200.110.100,"""bot32"" <sip:bot32@10.200.110.100>",<sip:bot43@10.200.110.111>,SIP,12:08:09 AM,10,COMPLETED,INVITE 401 200
5099.904253,5589.397162,10.200.110.111,"""bot32"" <sip:bot32@10.200.110.111>",<sip:bot43@10.200.110.100:8543>,SIP,12:08:09 AM,7,COMPLETED,INVITE 200
5399.852584,5400.045031,10.200.110.100,"""bot27"" <sip:bot27@10.200.110.100>",<sip:bot46@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
5399.91946,5400.038448,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot23@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
5459.847392,5459.86336,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot46@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
5519.877235,5954.726285,10.200.110.111,"""bot29"" <sip:bot29@10.200.110.111>",<sip:bot31@10.200.110.100:8531>,SIP,12:07:14 AM,7,COMPLETED,INVITE 200
5579.883539,5579.900985,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot49@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
5699.89595,6127.235305,10.200.110.100,"""bot40"" <sip:bot40@10.200.110.100>",<sip:bot43@10.200.110.111>,SIP,12:07:07 AM,10,COMPLETED,INVITE 401 200
5699.962575,6127.249368,10.200.110.111,"""bot40"" <sip:bot40@10.200.110.111>",<sip:bot43@10.200.110.100:8543>,SIP,12:07:07 AM,7,COMPLETED,INVITE 200
5759.910368,6185.099149,10.200.110.100,"""bot43"" <sip:bot43@10.200.110.100>",<sip:bot30@10.200.110.111>,SIP,12:07:05 AM,10,COMPLETED,INVITE 401 200
5760.042431,6257.736841,10.200.110.100,"""bot39"" <sip:bot39@10.200.110.100>",<sip:bot36@10.200.110.111>,SIP,12:08:17 AM,10,COMPLETED,INVITE 401 200
5820.003026,6009.959445,10.200.110.100,"""bot25"" <sip:bot25@10.200.110.100>",<sip:bot35@10.200.110.111>,SIP,12:03:09 AM,10,COMPLETED,INVITE 401 200
5939.810134,5939.824715,10.200.110.100,"""bot31"" <sip:bot31@10.200.110.100>",<sip:bot49@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
5939.857236,6315.752203,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot27@10.200.110.111>,SIP,12:06:15 AM,10,COMPLETED,INVITE 401 200
5939.866427,6315.769662,10.200.110.111,"""bot42"" <sip:bot42@10.200.110.111>",<sip:bot27@10.200.110.100:8527>,SIP,12:06:15 AM,7,COMPLETED,INVITE 200
6000.023249,6490.764504,10.200.110.111,"""bot35"" <sip:bot35@10.200.110.111>",<sip:bot28@10.200.110.100:8528>,SIP,12:08:10 AM,7,COMPLETED,INVITE 200
6000.027024,6085.307695,10.200.110.111,"""bot44"" <sip:bot44@10.200.110.111>",<sip:bot28@10.200.110.100:8528>,SIP,12:01:25 AM,7,COMPLETED,INVITE 200
6059.778023,6059.783578,10.200.110.100,"""bot33"" <sip:bot33@10.200.110.100>",<sip:bot48@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6239.908446,6678.210424,10.200.110.100,"""bot45"" <sip:bot45@10.200.110.100>",<sip:bot29@10.200.110.111>,SIP,12:07:18 AM,10,COMPLETED,INVITE 401 200
6239.977905,6605.271016,10.200.110.111,"""bot30"" <sip:bot30@10.200.110.111>",<sip:bot25@10.200.110.100:8525>,SIP,12:06:05 AM,7,COMPLETED,INVITE 200
6240.004529,6240.011947,10.200.110.100,"""bot34"" <sip:bot34@10.200.110.100>",<sip:bot49@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
6359.755924,6623.580546,10.200.110.100,"""bot28"" <sip:bot28@10.200.110.100>",<sip:bot37@10.200.110.111>,SIP,12:04:23 AM,10,COMPLETED,INVITE 401 200
6359.767957,6623.598133,10.200.110.111,"""bot28"" <sip:bot28@10.200.110.111>",<sip:bot37@10.200.110.100:8537>,SIP,12:04:23 AM,7,COMPLETED,INVITE 200
6359.928925,6359.945529,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot20@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
